,Unnamed: 0,followers_count,id,link,pop_score,time,text,score,word_counts,eng_perc,platform
684,724,884,222516930366537728,https://twitter.com/i/web/status/222516930366537728,0,2012-07-10,Auto correct RT @Confused_Heartd *BGC RT @Teee_Uhhhh: BBC is just one big house full of copy cat flip flopping bitches.,0.175,20,0.5,tw
685,725,730,240466718303080448,https://twitter.com/i/web/status/240466718303080448,0,2012-08-28,"After school , I was watching the repeats of the bgc episodes before the new one and cameron was like ""Oooh Cat Fight , Rarrr"" lmao",0.36818181818181817,24,0.4583333333333333,tw
686,726,210,966532567120916480,https://twitter.com/i/web/status/966532567120916480,1,2018-02-22,Still waiting to hear about what really happened to the A cat-aclysmic crisis,0.2,13,0.5384615384615384,tw
687,727,823,965580445348855808,https://twitter.com/i/web/status/965580445348855808,0,2018-02-19,"Deeply affected by how Shangri-la handled the ""relocation"" of the cats in BGC. I love cats... all of them. Please, just tell the public what you did to the cats. Where are they? Bring them back, please",0.125,37,0.40540540540540543,tw
688,728,715,965489936655773696,https://twitter.com/i/web/status/965489936655773696,28,2018-02-19,Where are the cats of BGC?,0.0,6,0.16666666666666666,tw
689,729,17268,965525554584670208,https://twitter.com/i/web/status/965525554584670208,22,2018-02-19,"So Shangri-la hotel’s rating went from 5 stars to 2 stars after they allegedly euthanized the . Feels like a Black Mirror episode, if you ask me.",-0.13333333333333333,28,0.4642857142857143,tw
690,730,7,977409040392241152,https://twitter.com/i/web/status/977409040392241152,1,2018-03-24,Yay! We have a special promotion from our official ride partner - get PHP100 off for your rides to/from,0.35714285714285715,18,0.3888888888888889,tw
691,731,77,474716770897788928,https://twitter.com/i/web/status/474716770897788928,0,2014-06-06,"@prettygrl_rocky @XTinaLilKim83 some1 snap a shot of u getting in &amp; out of the bgc van 1 night yall went out, so the cat is out the big.",0.0,28,0.39285714285714285,tw
692,732,969,971279606979485696,https://twitter.com/i/web/status/971279606979485696,9,2018-03-07,Cats of BGC beside Shang,0.0,5,0.2,tw
693,733,225,965059393841545216,https://twitter.com/i/web/status/965059393841545216,4,2018-02-18,Not buying this. Ibalik ang mga muning!!!!,0.0,7,0.14285714285714285,tw
694,734,320986,965518475945848832,https://twitter.com/i/web/status/965518475945848832,208,2018-02-19,"Shangri-La, CARA start search for missing cats of BGC",-0.2,9,0.4444444444444444,tw
695,735,530,318618878592811008,https://twitter.com/i/web/status/318618878592811008,0,2013-04-01,I'm not a super horny cat like that. I'm like a 7 on a scale of 1 to Tiger Woods. I just believe snapchat was made for nudes,-0.16666666666666666,30,0.5333333333333333,tw
696,736,340,965207987676524544,https://twitter.com/i/web/status/965207987676524544,18,2018-02-18,I cant believe these nice cats are gone just because of Shangrila BGC,0.6,13,0.46153846153846156,tw
697,737,184,965514339556868096,https://twitter.com/i/web/status/965514339556868096,1,2018-02-19,"There's an outrage with the missing cats of BGC as there are fears that these cats were put to sleep. Makes me wonder, how come with EJK people react differently? Are humans more humane towards animals than humans?",0.09999999999999999,39,0.4358974358974359,tw
698,739,179,965781050122108928,https://twitter.com/i/web/status/965781050122108928,3,2018-02-20,Shangri-la BGC... We want proof of life for the 12 cats your employees supposebly adopted. Bring the cats to Cats of BGC or to CARA to prove your story!,0.0,29,0.3793103448275862,tw
699,740,13,928997707619946496,https://twitter.com/i/web/status/928997707619946496,0,2017-11-10,📷 aharris00britney: Braxton Hair A less poofy version of that hair that came with Cats &amp; Dogs BGC 18 EA...,-0.16666666666666666,20,0.5,tw
700,742,1840,184465963620642816,https://twitter.com/i/web/status/184465963620642816,0,2012-03-27,"RT : ""@Simply_Rajanae: I wish majority of the girls on the BGC knew how to fight! I'm tired of seeing cat fights .""",-0.4,22,0.5,tw
701,743,2856,964771336655687680,https://twitter.com/i/web/status/964771336655687680,13,2018-02-17,"People are furious! I am too! We need proof if they really humanely ""relocated"" the strays. Why hire pest busters on the other hand? I am so sad and I am giving everyone a shout out that these were harmles…",-0.14166666666666666,40,0.425,tw
702,744,324,965543620504768512,https://twitter.com/i/web/status/965543620504768512,3,2018-02-19,I’m still very angry. Shame on @ShangriLaFort 😡😡,-0.65,10,0.4,tw
703,745,730,242497900347785216,https://twitter.com/i/web/status/242497900347785216,0,2012-09-03,i'm catching up on BGC and this shit is making me mad. u fuk up her pic pour a bottle of cranberry juice on the girl then get mad when she,-0.21250000000000002,32,0.40625,tw
704,746,125,965929007291105280,https://twitter.com/i/web/status/965929007291105280,0,2018-02-20,"John Rice, GM of Shangri-La at the Fort oredered the ""reloCATtion"" of the Cats of BGC. Heartless.",0.0,17,0.29411764705882354,tw
705,747,210,965224792453459968,https://twitter.com/i/web/status/965224792453459968,4,2018-02-18,"I am so disappointed about and how someone mistakenly thought they were ""pests"". How insensitive and irresponsible of you to remove them from the neighborhood that welcomed them with open arms. For your sake, I hope they weren't harmed.",-0.375,40,0.325,tw
706,748,1010,850025545115082752,https://twitter.com/i/web/status/850025545115082752,1,2017-04-06,This season of BGC is good asf. This is probably my favorite.,0.6,12,0.3333333333333333,tw
707,749,860,199680561042833408,https://twitter.com/i/web/status/199680561042833408,0,2012-05-08,PART 2 OF BGC CAT FIGHT,0.0,6,0.6666666666666666,tw
708,750,48,965609974855421952,https://twitter.com/i/web/status/965609974855421952,1,2018-02-19,I left Shang The Fort a 1-star rating on their Facebook page last night for what they did to the cats of BGC and then this happened. LMAO Y'ALL SO SHADY AND GUILTY,-0.030000000000000006,33,0.36363636363636365,tw
709,751,1174,965783257269747712,https://twitter.com/i/web/status/965783257269747712,0,2018-02-20,"Heartless, . Heartless. It's time to demonstrate the teeth of the Animal Welfare Law.",0.0,14,0.5714285714285714,tw
710,752,1115,199671094427402240,https://twitter.com/i/web/status/199671094427402240,0,2012-05-08,Ready fo part 2 of da BGC reunion,0.2,8,0.5,tw
711,753,412,965478754045673472,https://twitter.com/i/web/status/965478754045673472,0,2018-02-19,basahin niyo ang mga nagcocomment sa fb nyo. those people commenting were mostly from the upper class yun ang market niyo. goodluck!!! wrong move.,0.0,24,0.3333333333333333,tw
712,754,941,966677203952943104,https://twitter.com/i/web/status/966677203952943104,3,2018-02-22,"Updated statement on the as of 9:30 AM today, February 20. Thank you all for your continued patience and support.",0.0,20,0.4,tw
713,755,26,966674272679702528,https://twitter.com/i/web/status/966674272679702528,4,2018-02-22,Fake news or blatant lie? The continuing case of the Read ______ Photo from,-0.5,13,0.5384615384615384,tw
714,756,426505,965911409170120704,https://twitter.com/i/web/status/965911409170120704,3,2018-02-20,the cats of bgc will rise again!,0.0,7,0.2857142857142857,tw
715,757,941,965430484791566336,https://twitter.com/i/web/status/965430484791566336,6,2018-02-19,"Hinde pa tapos ang , may na nakikipagbaka",0.0,7,0.2857142857142857,tw
716,758,7,972324618198425600,https://twitter.com/i/web/status/972324618198425600,3,2018-03-10,Awwww. Still missing What now ?,-0.2,5,0.4,tw
717,759,1557,965868757687025664,https://twitter.com/i/web/status/965868757687025664,0,2018-02-20,Year of the dog lang tinegi nyo na ang cats @ShangriLaHotels bgc @ShangriLaHotels,0.0,13,0.23076923076923078,tw
718,760,173,965476968736026624,https://twitter.com/i/web/status/965476968736026624,3,2018-02-19,"How the fuk are Cats considered ""PESTS"" are you guys fucking retarded? You could've called the pound instead dumbasses",-0.8,20,0.45,tw
719,761,626375,966705973065732096,https://twitter.com/i/web/status/966705973065732096,1,2018-02-22,FB Scoop: CARA Releases Update on Status of BGC Cats,0.0,10,0.5,tw
720,762,156,223423158466789376,https://twitter.com/i/web/status/223423158466789376,0,2012-07-12,Anyone who would like a framed humorous poster of a disgruntled cat looking somewhat like Wiley E. Coyote can have it free emails? Lol.,0.5666666666666668,24,0.5,tw
721,763,93,970791826486542336,https://twitter.com/i/web/status/970791826486542336,2,2018-03-05,A “sorry-not-sorry” kind of statement from GM.,0.6,9,0.3333333333333333,tw
722,764,21,968780812056326144,https://twitter.com/i/web/status/968780812056326144,0,2018-02-28,"Bilog tlga ang mundo. Mas madalas, mas okay pa maging stray cat kesa may breed kc mas mataas ang chance na maampon at maalagaan ang strays kesa sa may breed na mahal bilhin. Pag minalas pa, magiging panregalo lang sila or alaga with benefits.",0.5,44,0.3409090909090909,tw
723,765,459,946480314225901568,https://twitter.com/i/web/status/946480314225901568,0,2017-12-28,"ganaaaaps in makati, bgc taguig, muntinlupa, and qc simbang gabi @ st. michael parish at bgc. saw viceeeey at 6am. mmff parade of the stars 2017 window shopping @ sm aura, market market cooked a carbonara who ate the carbonara? -dogs & cat -wacky kiray -shaina (cont)",0.125,44,0.3409090909090909,tw
724,766,7,979759935704756224,https://twitter.com/i/web/status/979759935704756224,3,2018-03-30,amazing cats 1 h,0.6000000000000001,4,1.0,tw
725,767,912,965267749332074496,https://twitter.com/i/web/status/965267749332074496,2,2018-02-18,", BGC in the Phils is harassing us who rated them 1-Star by reporting our FB accounts as abusive. We were mysteriously logged out of our accounts for suspicious activities! Is this how you operate?",0.0,34,0.35294117647058826,tw
726,768,578,965767819609628672,https://twitter.com/i/web/status/965767819609628672,3,2018-02-20,Where are the ???,0.0,3,0.0,tw
727,769,85,967178305282519040,https://twitter.com/i/web/status/967178305282519040,3,2018-02-23,The question on everyone’s mind. Where are the ?,0.0,10,0.2,tw
728,770,287,965416902263685120,https://twitter.com/i/web/status/965416902263685120,0,2018-02-19,"To all the animal-lovers who are reading this, please leave a 1-star rating to ""Shangri-La at the Fort, Manila""'s facebook page. They hired Pestbusters PH to get rid of a cat colony in the dark of night where no one would notice them.",-0.15,44,0.3409090909090909,tw
729,771,116,494263025700851712,https://twitter.com/i/web/status/494263025700851712,0,2014-07-29,Cat was 1 of the sexiest bitches on bgc I ain't lyin,0.0,13,0.46153846153846156,tw
730,772,474,965629918821281792,https://twitter.com/i/web/status/965629918821281792,0,2018-02-19,Read: What happened to the Cats of BGC? via @wheninmanila,0.0,10,0.3,tw
731,773,1304,965518991732064256,https://twitter.com/i/web/status/965518991732064256,6,2018-02-19,The cats of BGC were put into Schrödinger's boxes.,0.0,10,0.3,tw
732,774,600,965182763484655616,https://twitter.com/i/web/status/965182763484655616,8,2018-02-18,Shangri-la The Fort’s Facebook rating has gone from 4.2 to 2.8 stars in the last few days due to their removal of the BGC cats. I love how the community came together for this.,0.04375,36,0.3888888888888889,tw
